Polish_name,Gmina,County,Voivodeship,German_name,Poland,Polish_name_clean,German_name_clean
Kozy,,Bielsko County,Silesian Voivodeship,Seibersdorf,152,KOZY,SEIBERSDORF
Kozy,,Bielsko County,Silesian Voivodeship,Kosy[c],152,KOZY,KOSY
"Krąg, West Pomeranian Voivodeship",Polanów,Koszalin,West Pomeranian Voivodeship,Krangen,152,KRAG,KRANGEN
Krajenka,Krajenka,Złotów,Greater Poland Voivodeship,Krojanke,152,KRAJENKA,KROJANKE
Krajnik Dolny,Chojna,Gryfino,West Pomeranian Voivodeship,Nieder-Kränig,152,KRAJNIK DOLNY,NIEDER-KRANIG
Krajnik Górny,Chojna,Gryfino,West Pomeranian Voivodeship,Hohen-Kränig,152,KRAJNIK GORNY,HOHEN-KRANIG
Kraków,,,,Krakau,152,KRAKOW,KRAKAU
Krapkowice,Krapkowice,Krapkowice,Opole Voivodeship,Krappitz,152,KRAPKOWICE,KRAPPITZ
"Krążkowo, Lubusz Voivodeship",Sława,Wschowa,Lubusz Voivodeship,Altkranz,152,KRAZKOWO,ALTKRANZ
"Krosino, Szczecinek County",Grzmiąca,Szczecinek,West Pomeranian Voivodeship,(Groß) Krössin,152,KROSINO,(GROSS) KROSSIN
Krzeszowice,Krzeszowice,Kraków,Lesser Poland Voivodeship,Kressendorf[c],152,KRZESZOWICE,KRESSENDORF
Krosno Odrzańskie,Krosno Odrzańskie,Krosno Odrzańskie,Lubusz Voivodeship,Crossen an der Oder,152,KROSNO ODRZANSKIE,CROSSEN AN DER ODER
"Kuligowo, Zielona Góra County",Babimost,Zielona Góra,Lubusz Voivodeship,Kulkau,152,KULIGOWO,KULKAU
Kumiałtowice,Brody,Żary,Lubusz Voivodeship,Kummeltitz,152,KUMIALTOWICE,KUMMELTITZ
Kunowice,Słubice,Słubice,Lubusz Voivodeship,Kunersdorf,152,KUNOWICE,KUNERSDORF
Kupienino,Świebodzin,Świebodzin,Lubusz Voivodeship,Koppen,152,KUPIENINO,KOPPEN
Kurcewo,Stargard,Stargard,West Pomeranian Voivodeship,Krüssow,152,KURCEWO,KRUSSOW
Kursko,Międzyrzecz,Międzyrzecz,Lubusz Voivodeship,Kurzig,152,KURSKO,KURZIG
"Kuźnik, Lubusz Voivodeship",Międzyrzecz,Międzyrzecz,Lubusz Voivodeship,Kupfermühle,152,KUZNIK,KUPFERMUHLE
Kwidzyn,,Kwidzyn,Pomeranian Voivodeship,Marienwerder,152,KWIDZYN,MARIENWERDER
"Lasocin, Lubusz Voivodeship",Kożuchów,Nowa Sól,Lubusz Voivodeship,Lessendorf,152,LASOCIN,LESSENDORF
Lędyczek,Okonek,Złotów,Greater Poland Voivodeship,Landeck in Westpreußen,152,LEDYCZEK,LANDECK IN WESTPREUSSEN
Legnica,,,Lower Silesian Voivodeship,Liegnitz,152,LEGNICA,LIEGNITZ
Legnickie Pole,Legnickie Pole,Legnica,Lower Silesian Voivodeship,Wahlstatt,152,LEGNICKIE POLE,WAHLSTATT
