pid,city_1,city_2,city_3,city_4,imp_birth_country,imp_type,city_1_country,city_2_country,city_3_country,city_4_country,exonym_country.x,exonym_country.y,exonym_country_0,exonym_country_1,history_birth_country
41707,BADEN,SULZBURG,NA,NA,000/151,german_base/german_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
42082,POMMERN,STETTIN,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
42232,LIEBSTADT,MOHRUNGEN,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
42330,ALLENSTEIN,NEU VIERZIGHUBEN,NA,NA,000/152,german_base/unique_city,152,NA,NA,NA,152,152,NA,NA,152
42424,LUCKAU,ORTELSBURG,NA,NA,000/152,german_city/unique_city,NA,NA,NA,NA,NA,NA,152,152,152
42426,ROSSEL,SCHONBORN,NA,NA,000/152,german_city/unique_city,152,152,NA,NA,152,152,NA,NA,152
42471,BRAUNSBERG,LIEBENAU,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
42765,GERDAUEN,KARLSBURG,NA,NA,000/160,german_city/ostgebiete,NA,NA,NA,NA,NA,NA,NA,NA,NA
42856,HINDENBURG,OS,NA,NA,149/152,unique_city,152,NA,NA,NA,152,152,NA,NA,152
43015,DANZIG,KLEIN-KLESCHKAU,NA,NA,000/152,german_base/unique_city,152,NA,NA,NA,152,152,NA,NA,152
43498,BAD POLZIN,BELGRAD,NA,NA,152/170,city_o50/unique_city,152,NA,NA,NA,152,152,NA,NA,152
43560,NEUENDORF,RASTENBURG,NA,NA,000/152,german_city/ostgebiete,152,152,NA,NA,152,152,NA,NA,152
43713,SENSBURG,THALHAUSEN,NA,NA,000/152,fuzzy/unique_city,152,NA,NA,NA,152,152,NA,NA,152
43792,GROSS AUGSTUMAL,HEYDEKRUG,NA,NA,000/142,german_base/ostgebiete,NA,NA,NA,NA,NA,NA,NA,NA,NA
44246,ARYS,JOHANNISBURG,NA,NA,152/444,unique_city,NA,NA,NA,NA,NA,NA,152,152,152
44255,BLIDA,MARJAYOUN,NA,NA,221/451,city_o50/unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
44963,EICHENAU,KATTOWITZ,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
44985,NEIDENBURG,WIESENFELD,NA,NA,000/152,german_city/ostgebiete,152,NA,NA,NA,152,152,NA,NA,152
45451,KREUZBURG,PREUSSISCH EYLAU,NA,NA,152/160,ostgebiete/unique_city,NA,NA,NA,NA,NA,NA,152,152,152
45898,LOOS,SPROTTAU,NA,NA,129/152,unique_city/world_list,NA,152,NA,NA,152,152,NA,NA,152
45913,ALLENSTEIN,ALT-VIERZIEGHUBEN,NA,NA,000/152,german_base/unique_city,152,NA,NA,NA,152,152,NA,NA,152
45953,BADEN,RHEINFELDEN,NA,NA,000/151,german_base/german_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
46479,OMSK,PROGRESS,NA,NA,160/368,city_o50/unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
46616,LAUBAN,NIEDER-SCHONBRUNN,NA,NA,000/152,german_base/ostgebiete,NA,NA,NA,NA,NA,NA,152,152,152
46962,KARLSRUHE,OPPELN,NA,NA,000/152,fuzzy/unique_city,NA,152,NA,NA,152,152,NA,NA,152
47240,BARTENSTEIN,CRAILSHEIM,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
47546,SCHWEIDNITZ,WALDENBURG,NA,NA,000/152,german_city/unique_city,152,152,NA,NA,152,152,NA,NA,152
47957,JAKOBSDORF,SENSBURG,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
